HS8 Code,HS8 English Description,NAICS 6 Code,NAICS 6 English Description
01011000,"Horses, asses, mules and hinnies, live, pure-bred breeding",112920,Horse and other equine production
01012100,"Horses, live, pure-bred breeding",112920,Horse and other equine production
01012910,"Horses, live, for slaughter",112920,Horse and other equine production
01012990,"Horses, live, other than pure-bred or for slaughter",112920,Horse and other equine production
01013000,"Asses, live",112920,Horse and other equine production
01019000,"Mules and hinnies, live",112920,Horse and other equine production
01019010,"Live horses, asses, mules and hinnies, for slaughter",112920,Horse and other equine production
01019090,"Live horses, asses, mules and hinnies, nes",112920,Horse and other equine production
01021011,"Bovine, male, live, pure-bred, breeding, dairy.",112110,"Beef cattle ranching and farming, including feedlots"
01021012,"Bovine, female, live, pure-bred, breeding, dairy",112110,"Beef cattle ranching and farming, including feedlots"
01021091,"Bovine, male, live, pure-bred, breeding, exc dairy",112110,"Beef cattle ranching and farming, including feedlots"
01021092,"Bovine, female, live, pure-bred, breeding, exc dairy",112110,"Beef cattle ranching and farming, including feedlots"
01022111,"Cattle, live, dairy, male, pure-bred breeding",112110,"Beef cattle ranching and farming, including feedlots"
01022112,"Cattle, live, dairy, female, pure-bred breeding",112110,"Beef cattle ranching and farming, including feedlots"
01022191,"Cattle, male, live, pure-bred breeding, other than dairy",112110,"Beef cattle ranching and farming, including feedlots"
01022192,"Cattle, female, live, pure-bred breeding, other than dairy",112110,"Beef cattle ranching and farming, including feedlots"
01022911,"Cattle, live, other than pure-bred breeding, dairy, weighing < 90 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022912,"Cattle, live, other than pure-bred breeding, dairy, weighing 90 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01022920,"Cattle, live, weighing <= 200 kg, o/t pure-bred for breeding or dairy",112110,"Beef cattle ranching and farming, including feedlots"
01022921,"Cattle, male, live, other than pure-bred breeding, o/t dairy, weighing < 90 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022922,"Cattle, female, live, other than pure-bred breeding, o/t dairy, weighing < 90 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022931,"Cattle, male, live, o/t pure-bred breeding, o/t dairy,weighing >= 90 kg < 200 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022932,"Cattle, female, live,o/t pure-bred breeding,o/t dairy,weighing >= 90 kg < 200 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022941,"Cattle, male, live, o/t pure-bred breeding,o/t dairy,weighing >= 200 kg < 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022942,"Cattle, female,live,o/t pure-bred breeding,o/t dairy,weighing >= 200 kg < 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022951,"Steers, for immediate slaughter, wt >= 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022952,"Bulls, for immediate slaughter, wt >= 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022953,"Cows, for immediate slaughter, wt >= 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022954,"Heifers, for immediate slaughter,wt >= 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022960,"Cattle, live, for breeding, weighing >= 320 kg, o/t pure-bred",112110,"Beef cattle ranching and farming, including feedlots"
01022961,"Cattle, male, o/t pure-bred breeding, for breeding, wt >= 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022962,"Cattle, female, o/t pure-bred breeding, for breeding, wt >= 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01022991,"Other cattle, male, weighing >= 320 kg, nes",112110,"Beef cattle ranching and farming, including feedlots"
01022992,"Other cattle, female, weighing >= 320 kg, nes",112110,"Beef cattle ranching and farming, including feedlots"
01023100,"Buffalo, live, pure-bred breeding",112999,All other miscellaneous animal production
01023910,"Bison, live",112999,All other miscellaneous animal production
01023990,"Buffalo, live, other than pure-bred breeding, other than bison",112999,All other miscellaneous animal production
01029000,"Bovine, live, other than cattle and buffalo, nes",112999,All other miscellaneous animal production
01029011,"Bovine, live, nes, dairy weighing less than 90 kg",112110,"Beef cattle ranching and farming, including feedlots"
01029012,"Bovine, live, nes, dairy weighing 90 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01029020,"Bison, live",112110,"Beef cattle ranching and farming, including feedlots"
01029031,"Bovine male, live, nes, exc dairy, weighing less than 90 kg",112110,"Beef cattle ranching and farming, including feedlots"
01029032,"Bovine female, live, nes, exc dairy, weighing less than 90 kg",112110,"Beef cattle ranching and farming, including feedlots"
01029041,"Bovine male, live, nes, exc dairy, weighing 90 kg or more but less than 200 kg",112110,"Beef cattle ranching and farming, including feedlots"
01029042,"Bovine female, live, nes, exc dairy, weighing > 90 kg but < 200 kg",112110,"Beef cattle ranching and farming, including feedlots"
01029051,"Bovine male, live, nes exc dairy weighing200 kg or more but less than 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01029052,"Bovine female, live, nes, exc dairy, weighing > 200 kg but < 320 kg",112110,"Beef cattle ranching and farming, including feedlots"
01029061,"Steers nes, exc dairy, for immediate slaughter, weighing 320 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01029062,"Bulls nes, exc dairy, for immediate slaughter, weighing 320 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01029063,"Cows nes, exec dairy, for immediate slaughter, weighing 320 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01029064,"Heifers nes, exec dairy, for immediate slaughter, weighing 320 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01029071,"Bovine, male, nes, exc dairy, for breeding, weighing 320 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01029072,"Bovine, female, nes, exc dairy, for breeding, weighing 320 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01029091,"Bovine, male, nes, exc dairy, weighing 320 kg or more",112110,"Beef cattle ranching and farming, including feedlots"
01029092,"Bovine female, exc dairy, weighing 320 kgor more",112110,"Beef cattle ranching and farming, including feedlots"
01031000,"Swine, live pure-bred breeding",112210,Hog and pig farming
01039100,"Swine, live except pure-bred breeding weighing less than 50 kg",112210,Hog and pig farming
01039110,"Swine, live, o/t pure-bred breeding, weighing less than 7 kg each",112210,Hog and pig farming
01039120,"Swine, live, o/t pure-bred breeding, weighing >= 7 kg but < 23 kg",112210,Hog and pig farming
01039130,"Swine, live, o/t pure-bred breeding, weighing >= 23 kg but < 50 kg",112210,Hog and pig farming
01039210,"Swine, live, except pure-bred breeding, weighing 50 kg or more, for slaughter",112210,Hog and pig farming
01039290,"Swine, live, o/t pure-bred breeding, weighing >= 50 kg, nes",112210,Hog and pig farming
01041000,"Sheep, live",112410,Sheep farming
01042000,"Goats, live",112420,Goat farming
01051100,"Fowls of the species Gallus domesticus, live, weighing not more than 185 g",112340,Poultry hatcheries
01051200,"Turkeys, live, weighing not more than 185 g",112340,Poultry hatcheries
01051300,"Ducks, domestic, live, weighing <= 185 g",112340,Poultry hatcheries
01051400,"Geese, domestic, live, weighing <= 185 g",112340,Poultry hatcheries
01051500,"Guinea fowls, domestic, live, weighing <=185 g",112340,Poultry hatcheries
01051900,"Ducks, geese and guinea fowls, domestic, live, weighing not more than 185 g",112340,Poultry hatcheries
01059200,"Fowls, live domestic weighing >185 g <= 2000 g",112320,Broiler and other meat-type chicken production
01059300,"Fowls, live domestic weighing more than 2000 g",112320,Broiler and other meat-type chicken production
01059400,"Fowls, Gallus domesticus species, live, weighing > 185 g",112320,Broiler and other meat-type chicken production
