Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
1/1/2024,"0104.10 - Sheep, live",Ontario,United States,N/A,898447,10136,Number
1/1/2024,"0709.70 - Spinach, N-Z spinach and orache spinach (garden spinach), fresh or chilled",Ontario,United States,N/A,23891079,2661090,Weight in kilograms
1/1/2024,"0813.40 - Fruits, dried, nes, o/t of Nos 08.01 to 08.06",Ontario,United States,N/A,287844,20790,Weight in kilograms
1/1/2024,"1106.30 - Flour, meal and powder, of edible fruits,nuts and peel of citrus fruit or melons",Ontario,United States,N/A,1312477,162159,Weight in kilograms
1/1/2024,"1209.29 - Seeds of forage plants, for sowing, nes",Ontario,United States,N/A,3397739,324360,Weight in kilograms
1/1/2024,"1209.91 - Vegetable seeds, nes, for sowing",Ontario,United States,N/A,1256155,11838,Weight in kilograms
1/1/2024,"1507.90 - Soya-bean oil and its fractions, refined but not chemically modified",Ontario,United States,N/A,101886774,62412776,Weight in kilograms
1/1/2024,"1515.90 - Fixed vegetable fats & oils,nes & their fractions,w/n refined,not chemically mod",Ontario,United States,N/A,3572217,948965,Weight in kilograms
1/1/2024,"1520.00 - Glycerol, crude; glycerol waters and glycerol lyes",Ontario,United States,N/A,4280141,8223781,Weight in kilograms
1/1/2024,"2009.90 - Mixtures of juices, unfermented,not containing spirit,w/n cont added sugar/sweet",Ontario,United States,N/A,34297268,19280258,Volume in litres
1/1/2024,"2204.29 - Grape wine,fresh,nes; grape must, ferm prevented/arrested by alc, in ctnr > 10 l",Ontario,United States,N/A,12996645,34686262,Volume in litres
1/1/2024,2303.10 - Residues of starch manufacture and similar residues,Ontario,United States,N/A,21013452,94079000,Weight in kilograms
1/1/2024,"2403.19 - Smoking tobacco,whether/not containing tobacco substitutes in any proportion,nes",Ontario,United States,N/A,1144892,165315,Weight in kilograms
1/1/2024,2615.10 - Zirconium ores and concentrates,Ontario,United States,N/A,155233,25403,Weight in kilograms
1/1/2024,2814.10 - Anhydrous ammonia,Ontario,United States,N/A,173160195,218948,Weight in metric tonne
1/1/2024,2827.32 - Aluminium chloride,Ontario,United States,N/A,1653904,1228945,Weight in kilograms
1/1/2024,"2903.51 - 2,3,3,3-Tetrafluoropropene (HFO-1234yf), etc",Ontario,United States,N/A,181316,15407,Weight in kilograms
1/1/2024,"2922.19 - Amino-alcohols,o/t cont > 1 oxygen function,nes,their ethers,esters & salts,nes",Ontario,United States,N/A,749904,134548,Weight in kilograms
1/1/2024,2929.10 - Isocyanates,Ontario,United States,N/A,1596804,219023,Weight in kilograms
1/1/2024,"3209.90 - Paints & varnishes, based on polymers, dispersed in an aqueous medium, nes",Ontario,United States,N/A,122352847,10825863,Volume in litres
1/1/2024,"3502.90 - Albumins, nes, albuminates and other albumin derivatives",Ontario,United States,N/A,32769,18,Weight in kilograms
1/1/2024,"3815.11 - Supported catalysts, with nickel or nickel compounds as the active substance",Ontario,United States,N/A,5381315,1743475,Weight in kilograms
1/1/2024,"3901.10 - Polyethylene, having a specific gravity of less than 0.94",Ontario,United States,N/A,308281136,212105,Weight in metric tonne
1/1/2024,"3905.12 - Poly(vinyl acetate), in aqueous dispersion",Ontario,United States,N/A,15318800,7994842,Weight in kilograms
1/1/2024,"3920.59 - Film and sheet, etc, non-cellular, etc, of acrylic polymers, nes",Ontario,United States,N/A,107394,1877,Weight in kilograms
1/1/2024,"3921.12 - Plates, sheets, film, foil and strip, cellular, of polymers of vinyl chloride",Ontario,United States,N/A,33426421,3321463,Weight in kilograms
1/1/2024,"4403.91 - Logs, of oak, not treated",Ontario,United States,N/A,645336,865,Volume in cubic metres
1/1/2024,"4407.91 - Lumber, of oak, thickness > 6 mm, sawn/chipped lengthwise/sliced/peeled",Ontario,United States,N/A,4124571,4073,Volume in cubic metres
1/1/2024,"4409.22 - Wood continuously shaped along edges/ends/faces, of tropical wood",Ontario,United States,N/A,214860,114,Volume in cubic metres
1/1/2024,"4411.12 - Medium density fibreboard (MDF),of wood fibres/o ligneous materials,thick <= 5mm",Ontario,United States,N/A,2062922,3713,Volume in cubic metres
1/1/2024,"4415.10 - Cases, boxes, crates, drums and similar packings; cable-drums, wooden",Ontario,United States,N/A,32748411,0,Blank
1/1/2024,"4421.91 - Articles of bamboo, nes",Ontario,United States,N/A,2326372,0,Blank
1/1/2024,"4805.93 - Paper & paperboard,uncoated,>=225g/m²,in r/s,nfwt specified in Note 3 to Chapter",Ontario,United States,N/A,8605033,9526,Weight in metric tonne
1/1/2024,"4823.90 - Paper and articles of paper pulp or paper, nes",Ontario,United States,N/A,95440332,0,Blank
