,HS_Code_6digit,Category,naics,count
382,520100,nonCUSMA,111920,1
333,120230,nonCUSMA,111992,1
334,120241,nonCUSMA,111992,1
336,120242,nonCUSMA,111992,2
344,170220,nonCUSMA,111998,2
304,270900,Energy Mineral,211120,2
305,270900,Energy Mineral,211130,2
306,271111,Energy Mineral,211130,1
307,271121,Energy Mineral,211130,1
308,271112,Energy Mineral,211130,1
309,271113,Energy Mineral,211130,1
310,271119,Energy Mineral,211130,1
315,270111,Energy Mineral,212114,1
316,270112,Energy Mineral,212115,1
317,270119,Energy Mineral,212115,1
312,261210,Energy Mineral,212290,1
327,260600,Energy Mineral,212290,1
381,230990,nonCUSMA,311119,1
345,170230,nonCUSMA,311221,1
346,170240,nonCUSMA,311221,1
347,170260,nonCUSMA,311221,1
337,151790,nonCUSMA,311225,1
371,210690,nonCUSMA,311225,9
349,170490,nonCUSMA,311340,1
376,210690,nonCUSMA,311340,9
374,210690,nonCUSMA,311411,9
367,210390,nonCUSMA,311421,4
379,220299,nonCUSMA,311421,3
378,220299,nonCUSMA,311511,3
359,190190,nonCUSMA,311513,4
354,190110,nonCUSMA,311514,1
358,190190,nonCUSMA,311514,4
369,210690,nonCUSMA,311514,9
368,210500,nonCUSMA,311520,1
362,210120,nonCUSMA,311611,2
355,190120,nonCUSMA,311824,1
335,120242,nonCUSMA,311911,2
360,200811,nonCUSMA,311911,1
361,210112,nonCUSMA,311920,1
363,210120,nonCUSMA,311920,2
377,210690,nonCUSMA,311920,9
375,210690,nonCUSMA,311930,9
364,210390,nonCUSMA,311941,4
356,190190,nonCUSMA,311942,4
366,210390,nonCUSMA,311942,4
343,170220,nonCUSMA,311999,2
357,190190,nonCUSMA,311999,4
365,210390,nonCUSMA,311999,4
373,210690,nonCUSMA,311999,9
380,220299,nonCUSMA,312111,3
370,210690,nonCUSMA,312140,9
384,520300,nonCUSMA,313110,1
155,940399,Aluminum,313210,5
173,950790,Aluminum,314994,3
193,731210,Steel,314994,3
175,950790,Aluminum,314999,3
383,520299,nonCUSMA,314999,1
145,940199,Aluminum,316990,3
275,440711,Lumber,321113,2
277,440712,Lumber,321113,2
279,440713,Lumber,321113,1
280,440714,Lumber,321113,1
281,440719,Lumber,321113,2
284,440910,Lumber,321113,3
288,441850,Lumber,321113,1
289,441899,Lumber,321113,4
276,440711,Lumber,321114,2
278,440712,Lumber,321114,2
282,440719,Lumber,321114,2
