ADADGUID,Auto_B,Auto_E,Auto_C,Alum_B,Alum_E,Alum_C,Steel_B,Steel_E,Steel_C,Cop_B,Cop_E,Cop_C,Ene_B,Ene_E,Ene_C,MHDV_B,MHDV_E,MHDV_C,LumOld_B,LumOld_E,LumOld_C,LumNew_B,LumNew_E,LumNew_C,Dairy_B,Dairy_E,Dairy_C,Alcohol_B,Alcohol_E,Alcohol_C,Motor_B,Motor_E,Motor_C,S338_Tar_B,S338_Tar_E,S338_Tar_C,S338_Exc_B,S338_Exc_E,S338_Exc_C,S338_Tot_B,S338_Tot_E,S338_Tot_C,CUSMA_B,CUSMA_E,CUSMA_C,Total_B,Total_E,Total_C,ScenBefore_B,ScenBefore_E,ScenBefore_C,ScenAfter_B,ScenAfter_E,ScenAfter_C,geometry
2021S051610010001,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,6,5,3,13,8,0,0,0,1,1,2,10,38,168,10,38,168,0,0,0,10,38,168,16,845,613,16,845,613,16,845,613,16,845,613,POINT (-53.25418982995286 47.86225405767045)
2021S051610010002,0,0,6,0,0,8,0,0,8,0,0,1,0,0,7,0,0,1,0,0,3,0,0,8,0,0,2,0,0,2,2,10,52,2,10,52,0,0,2,2,10,52,2,10,82,2,10,82,2,10,82,2,10,82,POINT (-52.76053689500512 47.72308896969448)
2021S051610010003,0,0,0,1,1,1,1,1,2,0,0,0,0,0,28,0,0,0,4,42,8,4,42,10,0,0,1,1,1,5,5,13,83,6,14,85,0,0,1,6,14,85,9,54,258,9,54,258,9,54,258,9,54,258,POINT (-53.26648981737229 47.73592881595869)
2021S051610010004,0,0,6,1,1,9,1,1,8,1,1,1,2,12,13,0,0,1,0,0,4,1,34,18,0,0,2,1,5,2,6,51,46,6,51,46,0,0,2,6,51,46,7,62,98,7,62,98,7,62,98,7,62,98,POINT (-52.71311539417454 47.6217728223513)
2021S051610010005,2,5,6,1,3,9,1,3,8,0,0,1,0,0,15,0,0,1,0,0,4,2,29,18,0,0,2,1,1,2,4,33,53,4,33,53,0,0,2,4,33,53,5,35,110,5,35,110,5,35,110,5,35,110,POINT (-52.77029796102484 47.647250554620264)
2021S051610010006,1,4,6,0,0,9,2,23,8,0,0,1,0,0,8,1,4,1,0,0,3,0,0,13,0,0,2,0,0,2,2,6,40,2,6,40,0,0,2,2,6,40,3,25,77,3,25,77,3,25,77,3,25,77,POINT (-52.679613635842756 47.59531216519224)
2021S051610010007,0,0,6,1,1,9,1,1,9,0,0,1,0,0,10,0,0,1,0,0,4,0,0,17,0,0,2,0,0,3,1,1,48,1,1,48,0,0,2,1,1,48,2,12,92,2,12,92,2,12,92,2,12,92,POINT (-52.83057044008754 47.551106188098785)
2021S051610010008,0,0,6,0,0,8,0,0,8,0,0,1,0,0,8,0,0,1,0,0,3,0,0,10,0,0,2,0,0,2,0,0,39,0,0,39,0,0,2,0,0,39,0,0,71,0,0,71,0,0,71,0,0,71,POINT (-52.704423939326304 47.607914789682326)
2021S051610010009,0,0,6,0,0,9,0,0,8,0,0,1,2,19,10,0,0,1,0,0,3,0,0,14,0,0,2,1,1,2,6,11,40,6,11,40,2,2,2,6,11,40,9,39,80,9,39,80,9,39,80,9,39,80,POINT (-52.70185190517219 47.57263479931771)
2021S051610010010,1,2,6,0,0,9,0,0,9,0,0,1,0,0,11,0,0,1,0,0,4,0,0,17,0,0,2,0,0,3,3,79,51,3,79,51,0,0,2,3,79,51,5,301,97,5,301,97,5,301,97,5,301,97,POINT (-52.76722256483111 47.584334355043154)
2021S051610010011,0,0,6,0,0,9,0,0,8,0,0,1,0,0,8,0,0,1,0,0,3,0,0,13,0,0,2,0,0,1,1,3,30,1,3,30,0,0,2,1,3,30,2,14,62,2,14,62,2,14,62,2,14,62,POINT (-52.72386161987496 47.574234162935866)
2021S051610010013,0,0,7,1,2,12,0,0,11,0,0,1,1,19,9,0,0,1,1,3,4,1,3,20,1,1,2,0,0,2,7,86,84,7,86,84,0,0,2,7,86,84,11,135,149,11,135,149,11,135,149,11,135,149,POINT (-52.71977683258316 47.449941846639724)
2021S051610010015,0,0,6,0,0,9,0,0,9,0,0,1,0,0,9,0,0,1,1,7,4,1,7,21,0,0,2,0,0,2,3,11,61,3,11,61,0,0,2,3,11,61,4,74,110,4,74,110,4,74,110,4,74,110,POINT (-52.73885940812563 47.54044945089918)
2021S051610010016,0,0,6,0,0,9,0,0,10,0,0,1,0,0,8,0,0,1,0,0,4,0,0,12,1,1,2,0,0,3,1,1,66,1,1,66,0,0,2,1,1,66,1,1,104,1,1,104,1,1,104,1,1,104,POINT (-52.75448159718064 47.51055609803952)
2021S051610010017,0,0,6,1,2,9,0,0,9,0,0,1,2,2,12,0,0,1,0,0,4,1,34,14,0,0,2,0,0,3,2,37,68,2,37,68,0,0,2,2,37,68,6,47,113,6,47,113,6,47,113,6,47,113,POINT (-52.82967120906252 47.60970452174025)
