ADADGUID,Auto_1,Auto_2,Auto_3,Alum_1,Alum_2,Alum_3,Steel_1,Steel_2,Steel_3,Cop_1,Cop_2,Cop_3,Ene_1,Ene_2,Ene_3,MHDV_1,MHDV_2,MHDV_3,LumOld_1,LumOld_2,LumOld_3,LumNew_1,LumNew_2,LumNew_3,Dairy_1,Dairy_2,Dairy_3,Alcohol_1,Alcohol_2,Alcohol_3,Motor_1,Motor_2,Motor_3,S338_Tar_1,S338_Tar_2,S338_Tar_3,S338_Exc_1,S338_Exc_2,S338_Exc_3,S338_Tot_1,S338_Tot_2,S338_Tot_3,CUSMA_1,CUSMA_2,CUSMA_3,Total_1,Total_2,Total_3,ScenBefore_1,ScenBefore_2,ScenBefore_3,ScenAfter_1,ScenAfter_2,ScenAfter_3
2021S051610010001,0,0,0,0.00456621,0.000343643,0.000269179,0.00456621,0.000343643,0.000269179,0,0,0,0,0,0,0,0,0,0.00913242,0.002061856,0.001345895,0.01369863,0.004467354,0.002153432,0,0,0,0.00456621,0.000343643,0.000538358,0.0456621,0.013058419,0.045222073,0.0456621,0.013058419,0.045222073,0,0,0,0.0456621,0.013058419,0.045222073,0.073059361,0.290378007,0.165006729,0.073059361,0.290378007,0.165006729,0.073059361,0.290378007,0.165006729,0.073059361,0.290378007,0.165006729
2021S051610010002,0,0,0.002830189,0,0,0.003773585,0,0,0.003773585,0,0,0.000471698,0,0,0.003301887,0,0,0.000471698,0,0,0.001415094,0,0,0.003773585,0,0,0.000943396,0,0,0.000943396,0.03030303,0.025380711,0.024528302,0.03030303,0.025380711,0.024528302,0,0,0.000943396,0.03030303,0.025380711,0.024528302,0.03030303,0.025380711,0.038679245,0.03030303,0.025380711,0.038679245,0.03030303,0.025380711,0.038679245,0.03030303,0.025380711,0.038679245
2021S051610010003,0,0,0,0.003472222,0.000238892,0.000220751,0.003472222,0.000238892,0.000441501,0,0,0,0,0,0.006181015,0,0,0,0.013888889,0.010033445,0.001766004,0.013888889,0.010033445,0.002207506,0,0,0.000220751,0.003472222,0.000238892,0.001103753,0.017361111,0.00310559,0.018322296,0.020833333,0.003344482,0.018763797,0,0,0.000220751,0.020833333,0.003344482,0.018763797,0.03125,0.012900143,0.056953642,0.03125,0.012900143,0.056953642,0.03125,0.012900143,0.056953642,0.03125,0.012900143,0.056953642
2021S051610010004,0,0,0.001166181,0.002283105,0.000110327,0.001749271,0.002283105,0.000110327,0.001554908,0.002283105,0.000110327,0.000194363,0.00456621,0.001323919,0.002526725,0,0,0.000194363,0,0,0.000777454,0.002283105,0.003751103,0.003498542,0,0,0.000388727,0.002283105,0.000551633,0.000388727,0.01369863,0.005626655,0.008940719,0.01369863,0.005626655,0.008940719,0,0,0.000388727,0.01369863,0.005626655,0.008940719,0.015981735,0.006840247,0.019047619,0.015981735,0.006840247,0.019047619,0.015981735,0.006840247,0.019047619,0.015981735,0.006840247,0.019047619
2021S051610010005,0.009852217,0.003469813,0.001156069,0.004926108,0.002081888,0.001734104,0.004926108,0.002081888,0.001541426,0,0,0.000192678,0,0,0.002890173,0,0,0.000192678,0,0,0.000770713,0.009852217,0.020124913,0.003468208,0,0,0.000385356,0.004926108,0.000693963,0.000385356,0.019704433,0.022900763,0.010211946,0.019704433,0.022900763,0.010211946,0,0,0.000385356,0.019704433,0.022900763,0.010211946,0.024630542,0.024288688,0.021194605,0.024630542,0.024288688,0.021194605,0.024630542,0.024288688,0.021194605,0.024630542,0.024288688,0.021194605
2021S051610010006,0.005524862,0.001117943,0.001494396,0,0,0.002241594,0.011049724,0.006428172,0.001992528,0,0,0.000249066,0,0,0.001992528,0.005524862,0.001117943,0.000249066,0,0,0.000747198,0,0,0.003237858,0,0,0.000498132,0,0,0.000498132,0.011049724,0.001676914,0.00996264,0.011049724,0.001676914,0.00996264,0,0,0.000498132,0.011049724,0.001676914,0.00996264,0.016574586,0.006987144,0.019178082,0.016574586,0.006987144,0.019178082,0.016574586,0.006987144,0.019178082,0.016574586,0.006987144,0.019178082
2021S051610010007,0,0,0.00137457,0.007142857,0.000571429,0.002061856,0.007142857,0.000571429,0.002061856,0,0,0.000229095,0,0,0.002290951,0,0,0.000229095,0,0,0.00091638,0,0,0.003894616,0,0,0.00045819,0,0,0.000687285,0.007142857,0.000571429,0.010996564,0.007142857,0.000571429,0.010996564,0,0,0.00045819,0.007142857,0.000571429,0.010996564,0.014285714,0.006857143,0.021076747,0.014285714,0.006857143,0.021076747,0.014285714,0.006857143,0.021076747,0.014285714,0.006857143,0.021076747
2021S051610010008,0,0,0.001944895,0,0,0.002593193,0,0,0.002593193,0,0,0.000324149,0,0,0.002593193,0,0,0.000324149,0,0,0.000972447,0,0,0.003241491,0,0,0.000648298,0,0,0.000648298,0,0,0.012641815,0,0,0.012641815,0,0,0.000648298,0,0,0.012641815,0,0,0.023014587,0,0,0.023014587,0,0,0.023014587,0,0,0.023014587
2021S051610010009,0,0,0.001214575,0,0,0.001821862,0,0,0.001619433,0,0,0.000202429,0.003496503,0.001772388,0.002024291,0,0,0.000202429,0,0,0.000607287,0,0,0.002834008,0,0,0.000404858,0.001748252,9.33E-05,0.000404858,0.01048951,0.001026119,0.008097166,0.01048951,0.001026119,0.008097166,0.003496503,0.000186567,0.000404858,0.01048951,0.001026119,0.008097166,0.015734266,0.00363806,0.016194332,0.015734266,0.00363806,0.016194332,0.015734266,0.00363806,0.016194332,0.015734266,0.00363806,0.016194332
2021S051610010010,0.003095975,0.000262089,0.001030043,0,0,0.001545064,0,0,0.001545064,0,0,0.000171674,0,0,0.001888412,0,0,0.000171674,0,0,0.000686695,0,0,0.002918455,0,0,0.000343348,0,0,0.000515021,0.009287926,0.01035251,0.008755365,0.009287926,0.01035251,0.008755365,0,0,0.000343348,0.009287926,0.01035251,0.008755365,0.015479876,0.039444372,0.016652361,0.015479876,0.039444372,0.016652361,0.015479876,0.039444372,0.016652361,0.015479876,0.039444372,0.016652361
2021S051610010011,0,0,0.001583113,0,0,0.00237467,0,0,0.002110818,0,0,0.000263852,0,0,0.002110818,0,0,0.000263852,0,0,0.000791557,0,0,0.003430079,0,0,0.000527704,0,0,0.000263852,0.003571429,0.000742758,0.007915567,0.003571429,0.000742758,0.007915567,0,0,0.000527704,0.003571429,0.000742758,0.007915567,0.007142857,0.003466205,0.016358839,0.007142857,0.003466205,0.016358839,0.007142857,0.003466205,0.016358839,0.007142857,0.003466205,0.016358839
2021S051610010013,0,0,0.001266968,0.001934236,0.000159744,0.002171946,0,0,0.00199095,0,0,0.000180995,0.001934236,0.001517572,0.001628959,0,0,0.000180995,0.001934236,0.000239617,0.000723982,0.001934236,0.000239617,0.00361991,0.001934236,7.99E-05,0.000361991,0,0,0.000361991,0.013539652,0.00686901,0.01520362,0.013539652,0.00686901,0.01520362,0,0,0.000361991,0.013539652,0.00686901,0.01520362,0.021276596,0.010782748,0.026968326,0.021276596,0.010782748,0.026968326,0.021276596,0.010782748,0.026968326,0.021276596,0.010782748,0.026968326
2021S051610010015,0,0,0.000949367,0,0,0.001424051,0,0,0.001424051,0,0,0.000158228,0,0,0.001424051,0,0,0.000158228,0.003003003,0.000994883,0.000632911,0.003003003,0.000994883,0.003322785,0,0,0.000316456,0,0,0.000316456,0.009009009,0.001563388,0.009651899,0.009009009,0.001563388,0.009651899,0,0,0.000316456,0.009009009,0.001563388,0.009651899,0.012012012,0.010517339,0.017405063,0.012012012,0.010517339,0.017405063,0.012012012,0.010517339,0.017405063,0.012012012,0.010517339,0.017405063
2021S051610010016,0,0,0.001970443,0,0,0.002955665,0,0,0.003284072,0,0,0.000328407,0,0,0.002627258,0,0,0.000328407,0,0,0.001313629,0,0,0.003940887,0.012658228,0.001795332,0.000656814,0,0,0.000985222,0.012658228,0.001795332,0.021674877,0.012658228,0.001795332,0.021674877,0,0,0.000656814,0.012658228,0.001795332,0.021674877,0.012658228,0.001795332,0.034154351,0.012658228,0.001795332,0.034154351,0.012658228,0.001795332,0.034154351,0.012658228,0.001795332,0.034154351
2021S051610010017,0,0,0.0016,0.005952381,0.001893939,0.0024,0,0,0.0024,0,0,0.000266667,0.011904762,0.001893939,0.0032,0,0,0.000266667,0,0,0.001066667,0.005952381,0.03219697,0.003733333,0,0,0.000533333,0,0,0.0008,0.011904762,0.035037879,0.018133333,0.011904762,0.035037879,0.018133333,0,0,0.000533333,0.011904762,0.035037879,0.018133333,0.035714286,0.044507576,0.030133333,0.035714286,0.044507576,0.030133333,0.035714286,0.044507576,0.030133333,0.035714286,0.044507576,0.030133333
2021S051610010018,0,0,0.00155642,0,0,0.002075227,0,0,0.00233463,0,0,0.000259403,0,0,0.002075227,0,0,0.000259403,0,0,0.001037613,0.004545455,0.008749357,0.003372244,0,0,0.000518807,0,0,0.00077821,0.018181818,0.010550695,0.015823606,0.018181818,0.010550695,0.015823606,0.004545455,0.000257334,0.000518807,0.018181818,0.010550695,0.015823606,0.018181818,0.010550695,0.024124514,0.018181818,0.010550695,0.024124514,0.018181818,0.010550695,0.024124514,0.018181818,0.010550695,0.024124514
2021S051610010019,0,0,0.001518987,0.006711409,0.002861913,0.002278481,0,0,0.002278481,0,0,0.000253165,0,0,0.002531646,0,0,0.000253165,0.006711409,0.007154782,0.001265823,0.006711409,0.007154782,0.004810127,0,0,0.000506329,0,0,0.000759494,0.006711409,0.002861913,0.013164557,0.006711409,0.002861913,0.013164557,0,0,0.000506329,0.006711409,0.002861913,0.013164557,0.016778523,0.0131171,0.025063291,0.016778523,0.0131171,0.025063291,0.016778523,0.0131171,0.025063291,0.016778523,0.0131171,0.025063291
2021S051610010021,0,0,0,0,0,0.000210305,0,0,0.00042061,0,0,0,0,0,0.005257624,0,0,0,0.003067485,0.000720461,0.00168244,0.003067485,0.000720461,0.002103049,0,0,0.000210305,0,0,0.001051525,0.030674847,0.009606148,0.015562566,0.030674847,0.009606148,0.015983176,0,0,0.000210305,0.030674847,0.009606148,0.015983176,0.039877301,0.064841499,0.050473186,0.039877301,0.064841499,0.050473186,0.039877301,0.064841499,0.050473186,0.039877301,0.064841499,0.050473186
2021S051610010023,0,0,0.002108963,0.002941176,0.000970201,0.003163445,0.005882353,0.001524602,0.003163445,0.002941176,0.000970201,0.000351494,0.005882353,0.001801802,0.002460457,0,0,0.000351494,0,0,0.001757469,0.005882353,0.003049203,0.006678383,0.002941176,0.0004158,0.000702988,0,0,0.001054482,0.014705882,0.006098406,0.018980668,0.014705882,0.006098406,0.018980668,0,0,0.000702988,0.014705882,0.006098406,0.018980668,0.026470588,0.017186417,0.032688928,0.026470588,0.017186417,0.032688928,0.026470588,0.016770617,0.032688928,0.026470588,0.017186417,0.032688928
2021S051610010024,0,0,0.001702128,0,0,0.002553191,0,0,0.002553191,0,0,0.000283688,0,0,0.001985816,0,0,0.000283688,0,0,0.00141844,0,0,0.005673759,0,0,0.000567376,0,0,0.000851064,0.00877193,0.001374885,0.015035461,0.00877193,0.001374885,0.015035461,0,0,0.000567376,0.00877193,0.001374885,0.015035461,0.00877193,0.001374885,0.026666667,0.00877193,0.001374885,0.026666667,0.00877193,0.001374885,0.026666667,0.00877193,0.001374885,0.026666667
2021S051610010025,0,0,0.001280878,0,0,0.002012809,0,0,0.002012809,0,0,0.000182983,0,0,0.002378774,0,0,0.000182983,0,0,0.000914913,0,0,0.00347667,0,0,0.000365965,0,0,0.000548948,0.011904762,0.00861244,0.015187557,0.011904762,0.00861244,0.015187557,0,0,0.000365965,0.011904762,0.00861244,0.015187557,0.011904762,0.00861244,0.029643184,0.011904762,0.00861244,0.029643184,0.011904762,0.00861244,0.029643184,0.011904762,0.00861244,0.029643184
2021S051610010029,0,0,0.000613968,0,0,0.001688411,0.007246377,0.005399568,0.001534919,0,0,0.000306984,0,0,0.000920952,0,0,0,0.007246377,0.005399568,0.001688411,0.007246377,0.005399568,0.007060629,0,0,0.000460476,0.007246377,0.005399568,0.000613968,0.007246377,0.005399568,0.017498081,0.007246377,0.005399568,0.017498081,0,0,0.000460476,0.007246377,0.005399568,0.017498081,0.007246377,0.005399568,0.032847276,0.007246377,0.005399568,0.032847276,0.007246377,0.005399568,0.032540292,0.007246377,0.005399568,0.032847276
2021S051610010031,0,0,0.00123839,0.011627907,0.020080321,0.003095975,0.011627907,0.020080321,0.00247678,0,0,0,0,0,0.00619195,0,0,0,0,0,0.000619195,0,0,0.000619195,0,0,0.000619195,0,0,0,0.034883721,0.032931727,0.034055728,0.034883721,0.032931727,0.034055728,0,0,0,0.034883721,0.032931727,0.034055728,0.046511628,0.310843373,0.056346749,0.046511628,0.310843373,0.056346749,0.046511628,0.304417671,0.056346749,0.046511628,0.310843373,0.056346749
2021S051610010032,0.006993007,0.025751073,0.016702355,0.006993007,0.025751073,0.016702355,0.006993007,0.025751073,0.016702355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041958042,0.042060086,0.077087794,0.041958042,0.042060086,0.077087794,0,0,0,0.041958042,0.042060086,0.077087794,0.06993007,0.09527897,0.119486081,0.06993007,0.09527897,0.119486081,0.06993007,0.090128755,0.116059957,0.06993007,0.09527897,0.119486081
2021S051610010035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008403361,0.000381534,0.000416667,0,0,0,0.050420168,0.00610454,0.0325,0.050420168,0.00610454,0.0325,0,0,0,0.050420168,0.00610454,0.0325,0.067226891,0.008775277,0.05,0.067226891,0.008775277,0.05,0.067226891,0.008775277,0.05,0.067226891,0.008775277,0.05
2021S051610010036,0,0,0,0,0,0,0.005025126,0.000896861,0.000358423,0,0,0,0.010050251,0.09058296,0.023655914,0,0,0,0.005025126,0.000896861,0.000716846,0.010050251,0.005381166,0.002150538,0.005025126,0.000298954,0.000358423,0.010050251,0.001494768,0.000716846,0.035175879,0.011659193,0.043727599,0.040201005,0.0122571,0.044086022,0,0,0,0.040201005,0.0122571,0.044086022,0.065326633,0.172496263,0.109318996,0.065326633,0.172496263,0.109318996,0.065326633,0.172496263,0.109318996,0.065326633,0.172496263,0.109318996
2021S051610010037,0,0,0.000798403,0,0,0.001197605,0,0,0.001596806,0,0,0,0,0,0.004790419,0,0,0,0,0,0.00239521,0,0,0.003992016,0,0,0.000399202,0.009090909,0.008905852,0.001996008,0.054545455,0.119592875,0.036327345,0.054545455,0.119592875,0.037125749,0.009090909,0.008905852,0.000399202,0.054545455,0.119592875,0.037125749,0.063636364,0.122137405,0.072255489,0.063636364,0.122137405,0.072255489,0.063636364,0.117048346,0.072255489,0.063636364,0.122137405,0.072255489
2021S051610010040,0,0,0.005429864,0,0,0.007239819,0,0,0.006334842,0,0,0,0,0,0,0,0,0,0,0,0.00361991,0,0,0.010859729,0,0,0.001809955,0,0,0.001809955,0,0,0.029864253,0,0,0.029864253,0,0,0.000904977,0,0,0.029864253,0.010204082,0.045801527,0.042533937,0.010204082,0.045801527,0.042533937,0.010204082,0.045801527,0.041628959,0.010204082,0.045801527,0.042533937
2021S051610010041,0.002317497,0.000689893,0.001101928,0.005793743,0.001231952,0.001652893,0.001158749,0.000147834,0.001469238,0,0,0.000183655,0,0,0.001101928,0,0,0.000183655,0,0,0.000734619,0.002317497,0.001478342,0.003305785,0.001158749,0.000344947,0.000367309,0.001158749,0.000344947,0.000367309,0.012746234,0.006504706,0.010651974,0.012746234,0.006504706,0.010651974,0.001158749,0.000344947,0.000367309,0.012746234,0.006504706,0.010651974,0.020857474,0.014487754,0.017447199,0.020857474,0.014487754,0.017447199,0.020857474,0.014290642,0.017447199,0.020857474,0.014487754,0.017447199
2021S051610010042,0.002762431,0.003335418,0.000856269,0.005524862,0.005420054,0.001345566,0.002762431,0.003335418,0.001345566,0,0,0.000122324,0,0,0.002691131,0,0,0.000122324,0.002762431,0.003126954,0.000856269,0.002762431,0.003126954,0.003792049,0.002762431,0.001459245,0.000366972,0,0,0.000366972,0.016574586,0.032728789,0.011376147,0.016574586,0.032728789,0.011376147,0,0,0.000244648,0.016574586,0.032728789,0.011376147,0.016574586,0.032728789,0.025688073,0.016574586,0.032728789,0.025688073,0.016574586,0.032520325,0.025688073,0.016574586,0.032728789,0.025688073
2021S051610010043,0,0,0.001134216,0.006493506,0.000465549,0.001701323,0.012987013,0.000931099,0.001701323,0,0,0.000189036,0.006493506,0.000465549,0.002646503,0,0,0.000189036,0,0,0.00094518,0.012987013,0.026070764,0.003780718,0,0,0.000378072,0,0,0.000567108,0.019480519,0.026536313,0.011342155,0.019480519,0.026536313,0.011342155,0,0,0.000378072,0.019480519,0.026536313,0.011342155,0.038961039,0.031191806,0.022117202,0.038961039,0.031191806,0.022117202,0.038961039,0.031191806,0.022117202,0.038961039,0.031191806,0.022117202
2021S051610010044,0,0,0.00075188,0,0,0.001378446,0,0,0.00112782,0,0,0.000125313,0,0,0.002130326,0,0,0,0.003115265,0.000811908,0.000877193,0.00623053,0.0202977,0.003884712,0,0,0.00037594,0,0,0.000501253,0.00623053,0.0202977,0.009899749,0.00623053,0.0202977,0.009899749,0,0,0.00037594,0.00623053,0.0202977,0.009899749,0.009345794,0.021921516,0.022055138,0.009345794,0.021921516,0.022055138,0.009345794,0.021921516,0.021929825,0.009345794,0.021921516,0.022055138
2021S051610010045,0,0,0.002733485,0,0,0.004100228,0,0,0.004555809,0,0,0.000455581,0,0,0.005922551,0,0,0.000455581,0,0,0.002733485,0,0,0.006378132,0,0,0.000911162,0,0,0.002277904,0,0,0.021412301,0,0,0.022323462,0,0,0.000911162,0,0,0.022323462,0,0,0.046469248,0,0,0.046469248,0,0,0.046469248,0,0,0.046469248
2021S051610020001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027522936,0.014740566,0.089883268,0.027522936,0.014740566,0.089883268,0,0,0,0.027522936,0.014740566,0.089883268,0.055045872,0.275943396,0.202723735,0.055045872,0.275943396,0.202723735,0.055045872,0.275943396,0.202723735,0.055045872,0.275943396,0.202723735
2021S051610020002,0,0,0,0,0,0,0.012658228,0.006802721,0.048421053,0,0,0,0,0,0,0,0,0,0.012658228,0.006802721,0.048421053,0.012658228,0.006802721,0.048421053,0,0,0,0.012658228,0.006802721,0.048421053,0.050632911,0.036281179,0.167894737,0.050632911,0.036281179,0.167894737,0,0,0,0.050632911,0.036281179,0.167894737,0.075949367,0.045351474,0.213684211,0.075949367,0.045351474,0.213684211,0.075949367,0.045351474,0.211052632,0.075949367,0.045351474,0.213684211
2021S051610020003,0,0,0,0.003717472,0.000634518,0.0002574,0,0,0.0002574,0,0,0,0,0,0,0,0,0,0,0,0.0002574,0,0,0.0002574,0,0,0,0,0,0.0002574,0.011152416,0.003807107,0.013127413,0.011152416,0.003807107,0.013127413,0,0,0,0.011152416,0.003807107,0.013127413,0.022304833,0.041878173,0.076705277,0.022304833,0.041878173,0.076705277,0.022304833,0.041878173,0.076705277,0.022304833,0.041878173,0.076705277
2021S051610030001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0.001398601,0.001221996,0.01242236,0.004662005,0.00407332,0,0,0,0,0,0,0.043478261,0.016317016,0.03299389,0.043478261,0.016317016,0.03299389,0,0,0,0.043478261,0.016317016,0.03299389,0.074534161,0.137529138,0.257026477,0.074534161,0.137529138,0.257026477,0.074534161,0.137529138,0.257026477,0.074534161,0.137529138,0.257026477
2021S051610030002,,,0,,,0,,,0,,,0,,,0,,,0,,,0.002173913,,,0.004347826,,,0,,,0,,,0.017391304,,,0.017391304,,,0,,,0.017391304,,,0.1,,,0.1,,,0.1,,,0.1
2021S051610030003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0.002682164,0.043123939,0.010810811,0.002682164,0.043123939,0,0,0,0.010810811,0.002682164,0.043123939,0.021621622,0.013857845,0.093039049,0.021621622,0.013857845,0.093039049,0.021621622,0.013857845,0.093039049,0.021621622,0.013857845,0.093039049
