CSDDGUID,Auto_1,Auto_2,Auto_3,Alum_1,Alum_2,Alum_3,Steel_1,Steel_2,Steel_3,Cop_1,Cop_2,Cop_3,Ene_1,Ene_2,Ene_3,MHDV_1,MHDV_2,MHDV_3,LumOld_1,LumOld_2,LumOld_3,LumNew_1,LumNew_2,LumNew_3,Dairy_1,Dairy_2,Dairy_3,Alcohol_1,Alcohol_2,Alcohol_3,Motor_1,Motor_2,Motor_3,S338_Tar_1,S338_Tar_2,S338_Tar_3,S338_Exc_1,S338_Exc_2,S338_Exc_3,S338_Tot_1,S338_Tot_2,S338_Tot_3,CUSMA_1,CUSMA_2,CUSMA_3,Total_1,Total_2,Total_3,ScenBefore_1,ScenBefore_2,ScenBefore_3,ScenAfter_1,ScenAfter_2,ScenAfter_3
2021A00051001101,,,0.36,,,0.36,,,0.36,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.36,,,0.36,,,0,,,0.36,,,0.4,,,0.4,,,0.32,,,0.4
2021A00051001105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001113,0.058823529,0.175438596,0.086666667,0.058823529,0.175438596,0.086666667,0.058823529,0.175438596,0.086666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0.175438596,0.086666667,0.058823529,0.175438596,0.086666667,0,0,0,0.058823529,0.175438596,0.086666667,0.058823529,0.175438596,0.086666667,0.058823529,0.175438596,0.086666667,0.058823529,0.140350877,0.066666667,0.058823529,0.175438596,0.086666667
2021A00051001120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.015075377,0.059322034,0.034482759,0.015075377,0.059322034,0,0,0,0.034482759,0.015075377,0.059322034,0.034482759,0.015075377,0.086440678,0.034482759,0.015075377,0.086440678,0.034482759,0.015075377,0.086440678,0.034482759,0.015075377,0.086440678
2021A00051001126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037735849,0,0,0.037735849,0,0,0,0,0,0.037735849,0.055555556,0.01754386,0.147169811,0.055555556,0.01754386,0.147169811,0.055555556,0.01754386,0.147169811,0.055555556,0.01754386,0.147169811
2021A00051001131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.088235294,0.085714286,0.166666667,0.088235294,0.085714286,0,0,0,0.166666667,0.088235294,0.085714286,0.166666667,0.088235294,0.125714286,0.166666667,0.088235294,0.125714286,0.166666667,0.088235294,0.125714286,0.166666667,0.088235294,0.125714286
2021A00051001136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251851852,0,0,0.251851852,0,0,0,0,0,0.251851852,0.111111111,0.196078431,0.444444444,0.111111111,0.196078431,0.444444444,0.111111111,0.196078431,0.444444444,0.111111111,0.196078431,0.444444444
2021A00051001140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021A00051001144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.592592593,0,0.333333333,0.592592593,0,0.333333333,0.592592593,0,0.333333333,0.592592593,0
2021A00051001149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0.16,0,0,0,0,0,0.16,0,0,0.216,0,0,0.216,0,0,0.216,0,0,0.216
2021A00051001155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.116071429,0.094117647,0.15,0.116071429,0.094117647,0,0,0,0.15,0.116071429,0.094117647,0.2,0.133928571,0.094117647,0.2,0.133928571,0.094117647,0.2,0.133928571,0.094117647,0.2,0.133928571,0.094117647
2021A00051001169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001174,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2021A00051001178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001181,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.1125,,,0.1125,,,0,,,0.1125,,,0.1125,,,0.1125,,,0.1125,,,0.1125
2021A00051001186,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2021A00051001192,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.3,,,0.3,,,0,,,0.3,,,0.3,,,0.3,,,0.3,,,0.3
2021A00051001197,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2021A00051001203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001214,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2021A00051001219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.171428571,0.517647059,0.222222222,0.171428571,0.517647059,0,0,0,0.222222222,0.171428571,0.517647059,0.222222222,0.171428571,0.517647059,0.222222222,0.171428571,0.517647059,0.222222222,0.171428571,0.517647059,0.222222222,0.171428571,0.517647059
2021A00051001225,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.52,,,0.52,,,0,,,0.52,,,0.52,,,0.52,,,0.52,,,0.52
2021A00051001228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.017241379,0,0,0,0,0.2,0.068965517,0.404878049,0.2,0.068965517,0.404878049,0,0,0,0.2,0.068965517,0.404878049,0.2,0.068965517,0.404878049,0.2,0.068965517,0.404878049,0.2,0.068965517,0.404878049,0.2,0.068965517,0.404878049
2021A00051001234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0.015,0,0,0,0,0,0.015,0.333333333,0.384615385,0.045,0.333333333,0.384615385,0.045,0.333333333,0.384615385,0.045,0.333333333,0.384615385,0.045
2021A00051001240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0.001230012,0.00729927,0.011235955,0.001230012,0.00729927,0,0,0,0.011235955,0.001230012,0.00729927,0.02247191,0.002050021,0.027737226,0.02247191,0.002050021,0.027737226,0.02247191,0.002050021,0.027737226,0.02247191,0.002050021,0.027737226
2021A00051001254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.230769231,0.02,0.333333333,0.230769231,0.02,0,0,0,0.333333333,0.230769231,0.02,0.333333333,0.230769231,0.073333333,0.333333333,0.230769231,0.073333333,0.333333333,0.230769231,0.073333333,0.333333333,0.230769231,0.073333333
2021A00051001259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0.008,0,0,0.1,0,0,0.104,0,0,0,0,0,0.104,0,0,0.18,0,0,0.18,0,0,0.18,0,0,0.18
2021A00051001263,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.339344262,0.095652174,0,0,0,0,0,0,0,0,0,0,0,0.008695652,0,0,0,0,0,0.008695652,0,0,0.008695652,0,0,0,0,0,0.008695652,0.2,0.339344262,0.113043478,0.2,0.339344262,0.113043478,0.2,0.339344262,0.113043478,0.2,0.339344262,0.113043478
2021A00051001267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.362962963,0.5,0.5,0.362962963,0,0,0,0.5,0.5,0.362962963,0.5,0.5,0.437037037,0.5,0.5,0.437037037,0.5,0.5,0.437037037,0.5,0.5,0.437037037
2021A00051001270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027956989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0.004934211,0.07311828,0.037037037,0.004934211,0.07311828,0,0,0,0.037037037,0.004934211,0.07311828,0.074074074,0.366776316,0.16344086,0.074074074,0.366776316,0.16344086,0.074074074,0.366776316,0.16344086,0.074074074,0.366776316,0.16344086
