Category,NAICS
Auto,332611
Auto,336212
Auto,336370
Auto,335130
Auto,333920
Auto,336340
Auto,336310
Auto,333310
Auto,332210
Auto,335910
Auto,334220
Auto,333413
Auto,333110
Auto,334310
Auto,336330
Auto,334512
Auto,333910
Auto,336360
Auto,333416
Auto,336215
Auto,333619
Auto,332991
Auto,336120
Auto,335315
Auto,336350
Auto,336390
Auto,332510
Auto,326193
Auto,336110
Auto,326290
Auto,336211
Auto,326220
Auto,327215
Auto,334110
Auto,326210
Auto,332619
Auto,335312
Auto,336320
Alum,339920
Alum,331529
Alum,336370
Alum,335130
Alum,312120
Alum,332431
Alum,336310
Alum,332720
Alum,333310
Alum,332910
Alum,332118
Alum,337214
Alum,335210
Alum,332329
Alum,335990
Alum,334220
Alum,336990
Alum,332999
Alum,333413
Alum,333990
Alum,333110
Alum,332321
Alum,335229
Alum,336330
Alum,334512
Alum,336360
Alum,334410
Alum,339990
Alum,332410
Alum,333416
Alum,337215
Alum,335315
Alum,336350
Alum,332510
Alum,336390
Alum,326193
Alum,336410
Alum,331523
Alum,323119
Alum,335223
Alum,322220
Alum,335930
Alum,334110
Alum,335312
Alum,331317
Alum,333248
Alum,331313
Steel,332611
Steel,336370
Steel,335130
Steel,333920
Steel,332439
Steel,332431
Steel,332720
Steel,332910
Steel,333310
Steel,332210
Steel,332118
Steel,335210
Steel,331210
Steel,332329
Steel,331221
Steel,332311
Steel,332314
Steel,332420
Steel,332999
Steel,333110
Steel,332321
Steel,332113
Steel,335229
Steel,331511
Steel,336360
Steel,339990
Steel,333416
Steel,333619
Steel,337215
Steel,333120
Steel,331514
Steel,336390
Steel,326193
Steel,337126
Steel,333248
Steel,332319
Steel,335223
Steel,335930
Steel,332619
Steel,331110
Steel,333130
Steel,331222
Steel,321999
Cop,331420
Cop,332999
Cop,335920
Cop,332619
Cop,332720
Cop,331523
Ene,331529
Ene,211110
Ene,212398
Ene,327990
Ene,212220
Ene,331210
Ene,212115
Ene,324110
Ene,335990
Ene,331221
Ene,332329
Ene,212231
Ene,332999
Ene,212233
Ene,325920
Ene,325130
Ene,332113
Ene,325120
Ene,334410
Ene,339910
Ene,212291
Ene,212299
Ene,331420
Ene,212114
Ene,212232
Ene,325190
Ene,212396
Ene,325313
Ene,332319
Ene,325181
Ene,331410
Ene,325314
Ene,331222
Ene,331490
Ene,325999
Ene,331110
Ene,331317
Ene,325189
Ene,331313
MHDV,336120
MHDV,336211
MHDV,333120
MHDV,333920
MHDV,336110
LumOld,321919
LumOld,321111
LumOld,321920
LumOld,321215
LumOld,321999
LumNew,321919
LumNew,321114
LumNew,337215
LumNew,321111
LumNew,113311
LumNew,337127
LumNew,337213
LumNew,337121
LumNew,321920
LumNew,321215
LumNew,321999
LumNew,337110
Dairy,325520
Dairy,312310
Dairy,325190
Dairy,312120
Dairy,311614
Dairy,325999
Dairy,311515
Dairy,113210
Dairy,311221
Dairy,311619
Dairy,311824
Dairy,311310
Dairy,311990
Alcohol,339920
Alcohol,312120
Alcohol,311511
Alcohol,312130
Alcohol,312140
Alcohol,311515
Alcohol,321920
Alcohol,316990
Alcohol,114210
Alcohol,325190
Alcohol,321216
Alcohol,311616
Alcohol,322121
Alcohol,336612
Alcohol,316110
Alcohol,325999
Alcohol,322220
Alcohol,322130
Alcohol,311619
Alcohol,321999
Motor,322291
Motor,327330
Motor,313220
Motor,333920
Motor,312130
Motor,113210
Motor,332118
Motor,332329
Motor,111999
Motor,322219
Motor,314910
Motor,334310
Motor,311515
Motor,325410
Motor,326150
Motor,333120
Motor,332510
Motor,212393
Motor,334511
Motor,311824
Motor,336110
Motor,321211
Motor,332319
Motor,326111
Motor,313320
Motor,323119
Motor,316210
Motor,333248
Motor,321999
Motor,315990
Motor,326140
Motor,321111
Motor,335920
Motor,327420
Motor,333310
Motor,337214
Motor,311990
Motor,325210
Motor,313230
Motor,334220
Motor,111422
Motor,333110
Motor,327310
Motor,321217
Motor,336611
Motor,322211
Motor,314110
Motor,321911
Motor,333416
Motor,114210
Motor,325520
Motor,337215
Motor,325190
Motor,315250
Motor,311920
Motor,337110
Motor,112999
Motor,336612
Motor,326198
Motor,325999
Motor,112410
Motor,334110
Motor,325620
Motor,334290
Motor,115210
Motor,311221
Motor,334610
Motor,311619
Motor,326130
Motor,337920
Motor,339920
Motor,335130
Motor,332210
Motor,311940
Motor,332314
Motor,336990
Motor,337213
Motor,112910
Motor,111219
Motor,334410
Motor,314120
Motor,316990
Motor,333611
Motor,114113
Motor,311224
Motor,323116
Motor,327214
Motor,337121
Motor,337126
Motor,111330
Motor,313240
Motor,311616
Motor,313110
Motor,322230
Motor,322299
Motor,331490
Motor,115110
Motor,323120
Motor,326160
Motor,331317
Motor,339950
Motor,331313
Motor,339930
Motor,314990
Motor,113311
Motor,337127
Motor,311614
Motor,332720
Motor,311930
Motor,322112
Motor,312140
Motor,326121
Motor,326114
Motor,312310
Motor,321212
Motor,335990
Motor,325510
Motor,111421
Motor,332999
Motor,333990
Motor,335229
Motor,333910
Motor,336360
Motor,339990
Motor,339910
Motor,334210
Motor,315120
Motor,335315
Motor,321216
Motor,325910
Motor,326290
Motor,322121
Motor,111411
Motor,321919
Motor,322122
Motor,313310
Motor,313210
Motor,327390
Motor,327215
Motor,322220
Motor,335930
Motor,111412
Motor,331110
Motor,337910
before September 29,312120
before September 29,333920
before September 29,336340
before September 29,332118
before September 29,332329
before September 29,332321
before September 29,334310
before September 29,334512
before September 29,325120
before September 29,332991
before September 29,212299
before September 29,212114
before September 29,333120
before September 29,332510
before September 29,326193
before September 29,325313
before September 29,336110
before September 29,332319
before September 29,325314
before September 29,323119
before September 29,333130
before September 29,335312
before September 29,212220
before September 29,321999
before September 29,325189
before September 29,333248
before September 29,331529
before September 29,336370
before September 29,321111
before September 29,335920
before September 29,332910
before September 29,333310
before September 29,337214
before September 29,212115
before September 29,321114
before September 29,334220
before September 29,332311
before September 29,212231
before September 29,332420
before September 29,333110
before September 29,336330
before September 29,331511
before September 29,321920
before September 29,333416
before September 29,212291
before September 29,337215
before September 29,325190
before September 29,331514
before September 29,337110
before September 29,331523
before September 29,336211
before September 29,325999
before September 29,334110
before September 29,326210
before September 29,332619
before September 29,336320
before September 29,339920
before September 29,336212
before September 29,335130
before September 29,327990
before September 29,332439
before September 29,332431
before September 29,336310
before September 29,332210
before September 29,335210
before September 29,331210
before September 29,324110
before September 29,331221
before September 29,332314
before September 29,336990
before September 29,337213
before September 29,334410
before September 29,336120
before September 29,336350
before September 29,336410
before September 29,212396
before September 29,337121
before September 29,337126
before September 29,326220
before September 29,331490
before September 29,335223
before September 29,331317
before September 29,331222
before September 29,331313
before September 29,332611
before September 29,211110
before September 29,113311
before September 29,212398
before September 29,337127
before September 29,332720
before September 29,321215
before September 29,335910
before September 29,335990
before September 29,332999
before September 29,333413
before September 29,333990
before September 29,212233
before September 29,325920
before September 29,325130
before September 29,332113
before September 29,335229
before September 29,333910
before September 29,336360
before September 29,339990
before September 29,332410
before September 29,339910
before September 29,336215
before September 29,333619
before September 29,331420
before September 29,212232
before September 29,335315
before September 29,336390
before September 29,326290
before September 29,321919
before September 29,325181
before September 29,331410
before September 29,327215
before September 29,322220
before September 29,335930
before September 29,331110
after September 29,322291
after September 29,327330
after September 29,312120
after September 29,313220
after September 29,333920
after September 29,336340
after September 29,311511
after September 29,312130
after September 29,113210
after September 29,332118
after September 29,332329
after September 29,111999
after September 29,322219
after September 29,314910
after September 29,332321
after September 29,334310
after September 29,311515
after September 29,334512
after September 29,325120
after September 29,332991
after September 29,212299
after September 29,212114
after September 29,325410
after September 29,326150
after September 29,333120
after September 29,332510
after September 29,326193
after September 29,212393
after September 29,334511
after September 29,311824
after September 29,325313
after September 29,336110
after September 29,321211
after September 29,332319
after September 29,325314
after September 29,326111
after September 29,313320
after September 29,323119
after September 29,333130
after September 29,335312
after September 29,316210
after September 29,325189
after September 29,212220
after September 29,315990
after September 29,326140
after September 29,321999
after September 29,333248
after September 29,331529
after September 29,336370
after September 29,321111
after September 29,335920
after September 29,327420
after September 29,332910
after September 29,333310
after September 29,337214
after September 29,311990
after September 29,325210
after September 29,212115
after September 29,321114
after September 29,313230
after September 29,111422
after September 29,334220
after September 29,332311
after September 29,212231
after September 29,332420
after September 29,333110
after September 29,327310
