GEO_LEVEL,GEO_UID,GEO_NAME,S1_DIR_Jobs,S1_INDIR_Jobs,S1_INDCD_Jobs,S3_DIR_Jobs,S3_INDIR_Jobs,S3_INDCD_Jobs,S4_DIR_Jobs,S4_INDIR_Jobs,S4_INDCD_Jobs,S5_DIR_Jobs,S5_INDIR_Jobs,S5_INDCD_Jobs,S6_DIR_Jobs,S6_INDIR_Jobs,S6_INDCD_Jobs,S1_TOT_Jobs,S3_TOT_Jobs,S4_TOT_Jobs,S5_TOT_Jobs,S6_TOT_Jobs,CSD_COUNT,DENOM,S1_DIR_Pct,S1_INDIR_Pct,S1_INDCD_Pct,S3_DIR_Pct,S3_INDIR_Pct,S3_INDCD_Pct,S4_DIR_Pct,S4_INDIR_Pct,S4_INDCD_Pct,S5_DIR_Pct,S5_INDIR_Pct,S5_INDCD_Pct,S6_DIR_Pct,S6_INDIR_Pct,S6_INDCD_Pct,S1_TOT_Pct,S3_TOT_Pct,S4_TOT_Pct,S5_TOT_Pct,S6_TOT_Pct
Census metropolitan area,2021S0503535,Toronto,6499.443664042603,21746.036631967152,43453.66509976717,741.7484878170889,2182.565617416893,6811.572497945774,647.0290574974749,2153.788150385961,5212.9227449552145,88.68780258477878,345.63394282732827,1731.8816504396284,11250.731778360976,25355.479302165895,43615.29823771135,71699.14539577693,9735.886603179755,8013.73995283865,2166.2033958517354,80221.50931823823,24,2903480.0,0.224,0.749,1.497,0.026,0.075,0.235,0.022,0.074,0.18,0.003,0.012,0.06,0.387,0.873,1.502,2.469,0.335,0.276,0.075,2.763
Census metropolitan area,2021S0503462,Montréal,3559.6306511682856,14020.686208327677,22430.826146848085,485.34710507519947,1650.9020837875748,3662.2846872114296,816.2111483120336,1791.4641360912376,4683.276441074012,166.38509410812458,388.82785005139726,1376.7370463363854,1815.0424552849654,11572.418622243606,14186.652102395197,40011.14300634405,5798.533876074203,7290.9517254772845,1931.949990495907,27574.11317992377,93,2117370.0,0.168,0.662,1.059,0.023,0.078,0.173,0.039,0.085,0.221,0.008,0.018,0.065,0.086,0.547,0.67,1.89,0.274,0.344,0.091,1.302
Census metropolitan area,2021S0503933,Vancouver,2567.317853705292,9341.025986645962,14730.735801042723,328.08048144916444,1014.2684442954437,1761.2096333638997,233.3379994595232,627.9574574716555,1424.0069997319547,309.82153738995197,1017.0596805298874,2013.335258345951,112.13043999595179,703.4909433227912,3151.422544323536,26639.07964139398,3103.558559108508,2285.3024566631334,3340.2164762657903,3967.043927642279,38,1341570.0,0.191,0.696,1.098,0.024,0.076,0.131,0.017,0.047,0.106,0.023,0.076,0.15,0.008,0.052,0.235,1.986,0.231,0.17,0.249,0.296
Census metropolitan area,2021S0503825,Calgary,1265.845597167518,4993.754109568863,7379.901354904625,259.86446607589585,1063.5558440524053,1615.1323304894204,66.63365822924631,266.1918640610702,641.3093276839138,47.194776033320686,228.87773203852794,466.8916835698784,65.62096481453288,705.7534608935722,2629.631450758961,13639.501061641005,2938.552640617721,974.1348499742303,742.9641916417271,3401.005876467066,9,724205.0,0.175,0.69,1.019,0.036,0.147,0.223,0.009,0.037,0.089,0.007,0.032,0.064,0.009,0.097,0.363,1.883,0.406,0.135,0.103,0.47
Census metropolitan area,2021S0503505,Ottawa - Gatineau,1008.9112338377171,3774.347449774498,7110.433474954273,103.03621389230771,305.15030580902226,1097.492695481765,65.12394720881579,215.73377917561672,943.6336166134251,16.742676419569367,64.5367404125781,291.6402865130575,978.3433256677733,2289.4098960709207,6983.28472894098,11893.692158566488,1505.679215183095,1224.4913429978576,372.919703345205,10251.037950679674,25,723250.0,0.139,0.522,0.983,0.014,0.042,0.152,0.009,0.03,0.13,0.002,0.009,0.04,0.135,0.317,0.966,1.644,0.208,0.169,0.052,1.417
Census metropolitan area,2021S0503835,Edmonton,952.8489363627642,4362.307069295585,6135.338796010831,268.9764659804691,973.5342713404509,1359.7837536157224,71.53809860407276,313.4559331453846,512.1704279024424,49.18713036082088,173.24377443577376,392.6006599814635,57.878063989904355,452.86376485492286,2006.177128052999,11450.494801669181,2602.2944909366424,897.1644596518997,615.031564778058,2516.9189568978263,34,680310.0,0.14,0.641,0.902,0.04,0.143,0.2,0.011,0.046,0.075,0.007,0.025,0.058,0.009,0.067,0.295,1.683,0.383,0.132,0.09,0.37
Census metropolitan area,2021S0503421,Québec,695.4242718887483,2599.55506946704,4339.503297046573,105.65487737524657,319.1031815775648,704.4307554296568,130.6855738118072,359.2864125736625,912.2175527981944,41.84216723652207,92.31476422327061,266.53223778744257,359.2446921953246,1229.430133746532,2743.017197415656,7634.482638402362,1129.188814382468,1402.189539183664,400.68916924723527,4331.692023357512,30,424230.0,0.164,0.613,1.023,0.025,0.075,0.166,0.031,0.085,0.215,0.01,0.022,0.063,0.085,0.29,0.647,1.8,0.266,0.331,0.094,1.021
Census metropolitan area,2021S0503537,Hamilton,575.4353307969488,2200.9253354551092,4219.168033345761,93.1987705773365,366.5480874262396,653.5307606031546,272.8452756976022,573.3453628490204,507.3198331627375,8.998028863860386,32.85548246668235,162.76876392791888,1301.4472814458995,2467.851121064644,4321.1704658043745,6995.528699597819,1113.2776186067308,1353.51047170936,204.62227525846163,8090.468868314918,3,358350.0,0.161,0.614,1.177,0.026,0.102,0.182,0.076,0.16,0.142,0.003,0.009,0.045,0.363,0.689,1.206,1.952,0.311,0.378,0.057,2.258
Census metropolitan area,2021S0503602,Winnipeg,578.5516439668761,2402.7970712734223,3685.6628870827667,458.7026314142319,1253.3847273788906,1739.7144463368381,11.782819719768913,63.858736512543665,244.38107663297782,15.13173018876692,43.04450404462994,147.50088398586334,79.32092711363391,385.4980545492662,1437.7017537788554,6667.011602323066,3451.8018051299605,320.0226328652904,205.6771182192602,1902.5207354417555,13,409845.0,0.141,0.586,0.899,0.112,0.306,0.424,0.003,0.016,0.06,0.004,0.011,0.036,0.019,0.094,0.351,1.627,0.842,0.078,0.05,0.464
Census metropolitan area,2021S0503541,Kitchener - Cambridge - Waterloo,533.2055333968934,1907.3242372305904,3858.9603366726014,94.67180954326639,260.83566681357115,604.963887825907,126.24337307219876,300.67787168454123,465.5643477304354,8.834211930415771,34.00579250762743,154.92120521681773,1489.8807323266549,3813.6704146821303,3858.1669992101674,6299.490107300086,960.4713641827445,892.4855924871753,197.76120965486092,9161.718146218953,6,277975.0,0.192,0.686,1.388,0.034,0.094,0.218,0.045,0.108,0.167,0.003,0.012,0.056,0.536,1.372,1.388,2.266,0.346,0.321,0.071,3.296
Census metropolitan area,2021S0503555,London,444.4564655853649,1649.324631951693,3192.356718444332,98.25323384119272,306.9423936203773,493.2854041476894,37.79030891389972,119.0435160701723,384.79705170554365,5.814653924857186,22.011472955952577,123.3109090155877,1367.74640839192,1923.8706930225453,3268.9694464517606,5286.137815981389,898.4810316092594,541.6308766896157,151.13703589639746,6560.586547866227,8,242565.0,0.183,0.68,1.316,0.041,0.127,0.203,0.016,0.049,0.159,0.002,0.009,0.051,0.564,0.793,1.348,2.179,0.37,0.223,0.062,2.705
Census metropolitan area,2021S0503539,St. Catharines - Niagara,296.3690683536165,1354.4618655004545,2405.671194031979,79.28816669650121,445.3095847719917,369.1363426463811,66.73201075254043,233.9367541982685,289.6928906732965,4.724770808610131,15.834330503260087,90.26267127889247,559.5464570268331,1134.6912947407986,2501.96123512517,4056.5021278860504,893.7340941148741,590.3616556241054,110.82177259076269,4196.198986892801,10,176240.0,0.168,0.769,1.365,0.045,0.253,0.209,0.038,0.133,0.164,0.003,0.009,0.051,0.317,0.644,1.42,2.302,0.507,0.335,0.063,2.381
Census metropolitan area,2021S0503559,Windsor,337.81757014784176,1212.6451088669266,2479.5163628757373,102.67441032613193,715.6193121778305,391.65391037121793,35.77139189950228,108.37632372796458,301.05741645126494,6.416879984839256,17.53238410238898,100.73699107725628,2070.956637110511,3912.7032227297564,2456.1704671702573,4029.9790418905063,1209.9476328751803,445.2051320787318,124.6862551644845,8439.830327010524,8,171605.0,0.197,0.707,1.445,0.06,0.417,0.228,0.021,0.063,0.175,0.004,0.01,0.059,1.207,2.28,1.431,2.348,0.705,0.259,0.073,4.918
