CSDDGUID,All_Businesses,All_Employees,LANDAREA,Auto_B,Auto_E,Alum_B,Alum_E,Steel_B,Steel_E,Cop_B,Cop_E,Lum_B,Lum_E,Ene_B,Ene_E,MHDV_B,MHDV_E,LumOld_B,LumOld_E,LumNew_B,LumNew_E,CUSMA_B,CUSMA_E,Total_B,Total_E
2021A00051001101,0,0,870.8928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001105,1,7,1.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001113,17,171,54.213,1,24,1,24,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,24
2021A00051001120,1,3,1.0729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001124,29,199,742.3781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3
2021A00051001126,18,114,10.0893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2
2021A00051001131,6,34,125.9269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3
2021A00051001136,9,51,38.3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,10
2021A00051001140,0,0,8.8374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001144,3,81,6.8849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,1,48
2021A00051001149,19,193,13.2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001155,20,112,821.9715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,4,15
2021A00051001169,4,24,86.6198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021A00051001174,0,0,23.2882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
