,CHAR_POP21,Alcohol_1,Alcohol_2,Alcohol_3,Alum_1,Alum_2,Alum_3,Auto_1,Auto_2,Auto_3,CUSMA_1,CUSMA_2,CUSMA_3,Cop_1,Cop_2,Cop_3,Dairy_1,Dairy_2,Dairy_3,Ene_1,Ene_2,Ene_3,LumNew_1,LumNew_2,LumNew_3,LumOld_1,LumOld_2,LumOld_3,MHDV_1,MHDV_2,MHDV_3,Motor_1,Motor_2,Motor_3,S338_Exc_1,S338_Exc_2,S338_Exc_3,S338_Tar_1,S338_Tar_2,S338_Tar_3,S338_Tot_1,S338_Tot_2,S338_Tot_3,ScenAfter_1,ScenAfter_2,ScenAfter_3,ScenBefore_1,ScenBefore_2,ScenBefore_3,Steel_1,Steel_2,Steel_3,Total_1,Total_2,Total_3
count,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,39.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,37.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
mean,665393.15,0.89,2.32,0.8,2.18,5.68,2.74,1.2,4.51,1.73,8.48,11.44,8.71,0.67,1.36,0.28,0.73,1.42,0.48,1.3,4.97,1.54,1.22,3.36,0.93,0.75,2.15,0.52,0.46,2.46,0.33,5.22,8.4,5.63,0.68,2.63,0.57,5.33,8.51,5.83,5.34,8.55,5.87,8.96,13.45,9.85,8.71,12.24,9.14,2.02,5.23,2.37,8.96,13.45,9.85
std,1187684.29,0.45,2.95,0.62,1.07,4.63,2.04,0.62,4.69,1.59,3.85,5.3,3.56,0.41,2.0,0.23,0.31,1.36,0.32,0.49,6.57,1.7,0.55,5.34,0.49,0.42,2.36,0.33,0.21,3.51,0.28,2.1,4.11,2.5,0.38,2.83,0.44,2.14,4.24,2.62,2.13,4.22,2.62,3.86,6.04,4.03,3.76,5.68,3.74,0.78,3.08,1.54,3.86,6.04,4.03
min,100844.0,0.32,0.22,0.07,0.57,0.69,0.23,0.51,0.16,0.16,2.11,2.35,2.63,0.19,0.03,0.02,0.29,0.08,0.05,0.6,0.16,0.25,0.34,0.22,0.31,0.11,0.19,0.11,0.14,0.1,0.02,1.42,0.86,1.49,0.12,0.03,0.05,1.42,0.86,1.49,1.42,0.86,1.49,2.11,2.35,2.63,2.11,2.29,2.63,0.74,0.74,0.22,2.11,2.35,2.63
20%,123847.0,0.54,0.66,0.43,1.24,2.21,1.14,0.69,1.21,0.62,5.37,6.8,5.93,0.39,0.29,0.12,0.51,0.49,0.29,0.9,1.73,0.79,0.84,1.39,0.55,0.5,0.68,0.26,0.29,0.29,0.1,3.64,4.66,3.55,0.4,0.48,0.25,3.83,4.29,3.51,3.83,4.65,3.68,5.69,8.04,6.36,5.63,7.51,5.8,1.25,2.51,1.09,5.69,8.04,6.36
40%,170605.0,0.76,1.12,0.56,1.73,3.28,1.54,0.94,2.32,0.95,6.58,9.08,7.1,0.52,0.55,0.18,0.61,0.77,0.37,1.13,2.62,1.08,1.05,1.81,0.7,0.63,1.41,0.36,0.37,0.54,0.19,4.25,7.2,4.37,0.56,0.85,0.35,4.38,7.26,4.69,4.38,7.26,4.69,7.18,11.96,7.84,6.73,9.97,7.49,1.64,4.0,1.77,7.18,11.96,7.84
50%,212856.0,0.79,1.37,0.59,1.89,4.29,2.03,1.06,2.63,1.34,7.44,11.32,7.93,0.61,0.65,0.2,0.66,0.91,0.41,1.23,2.73,1.13,1.15,2.23,0.76,0.66,1.59,0.42,0.43,1.06,0.25,4.97,8.89,5.28,0.58,1.53,0.47,5.06,9.05,5.47,5.06,9.05,5.49,7.94,13.35,8.89,7.72,11.91,8.28,1.76,4.87,2.07,7.94,13.35,8.89
60%,317480.0,0.88,1.7,0.75,2.22,5.2,2.65,1.13,3.59,1.62,8.16,12.1,8.84,0.66,0.91,0.23,0.73,1.27,0.46,1.29,3.07,1.33,1.2,2.5,0.88,0.7,1.84,0.44,0.5,1.57,0.32,5.3,9.22,5.97,0.66,2.9,0.53,5.43,9.26,6.16,5.44,9.42,6.18,8.83,14.06,10.2,8.52,12.75,9.06,2.3,5.38,2.24,8.83,14.06,10.2
80%,785184.0,1.14,3.03,0.94,3.06,7.8,4.22,1.57,6.04,2.17,11.17,15.46,12.03,0.86,1.82,0.4,0.88,2.04,0.58,1.72,4.84,1.74,1.48,3.36,1.34,0.89,2.31,0.83,0.57,4.52,0.44,6.74,11.86,8.0,0.82,4.52,0.76,6.84,12.69,8.19,6.84,12.69,8.24,11.93,17.78,13.58,10.77,16.27,13.0,2.82,8.08,3.43,11.93,17.78,13.58
max,6202225.0,2.8,17.23,3.37,4.9,20.45,9.04,3.78,23.07,7.04,18.72,23.75,18.23,2.38,11.14,1.07,1.92,6.47,1.95,2.53,34.39,11.25,3.04,34.44,2.23,2.36,13.27,1.46,1.04,18.97,1.17,10.52,17.37,12.6,2.0,13.79,2.32,10.59,17.16,13.23,10.59,17.16,13.23,19.19,28.25,19.09,18.94,27.56,17.46,3.66,14.86,7.1,19.19,28.25,19.09
